query,passage
নারীবাদী শব্দটি কে প্রথম ব্যবহার করেন ?,"১৮৩৭ খ্রিঃ ফরাসি দার্শনিক ও ইউটোপীয় সমাজবাদী চার্লস ফুরিয়ে প্রথম 'নারীবাদ' শব্দটির আনুষ্ঠানিক ব্যবহার করেছিলেন বলে ধারণা করা হয়।[10] ""নারীবাদ"" (feminism) এবং ""নারীবাদী"" (feminist) শব্দদুটি ফ্রান্স ও নেদারল্যান্ডসে প্রথম প্রকাশিত হয় ১৮৭২ এ[11], যুক্তরাজ্যে ১৮৯০ এ, এবং যুক্তরাষ্ট্রে ১৯১০ এ।[12][13] অক্সফোর্ড ইংরেজি অভিধান অনুযায়ী ""নারীবাদী"" শব্দের উৎপত্তিকাল ১৮৫২[14] এবং ""নারীবাদ"" শব্দের ক্ষেত্রে তা ১৮৯৫।[15] সময়কাল, সংস্কৃতি ও দেশভেদে বিশ্বের বিভিন্ন প্রান্তের নারীবাদীরা বিভিন্ন কর্মসূচী ও লক্ষ্য পূরণের জন্য কাজ করেছেন। অধিকাংশ পাশ্চাত্য নারীবাদী ঐতিহাসিক মনে করেন যে যে সমস্ত আন্দোলন নারীর অধিকার অর্জনের লক্ষ্যে কাজ করেছে তাদের সব কয়টিকেই নারীবাদী হিসেবে গণ্য করা উচিত; তারা নিজেদেরকে ঐ নামে চিহ্নিত না করলেও এর অন্যথা হয় না।[16][17][18][19][20][21] অন্য ঐতিহাসিকরা মনে করেন 'নারীবাদী' শব্দটি শুধুমাত্র আধুনিক নারীবাদী আন্দোলন ও তার উত্তরসূরী আন্দোলনগুলোর ক্ষেত্রেই প্রযোজ্য। এই দ্বিতীয় দলের ঐতিহাসিকরা পূর্ববর্তী আন্দোলনগুলোকে চিহ্নিত করতে ""উপনারীবাদ"" কথাটির অবতারণা করেছেন।[22]"
স্বামী বিবেকানন্দের বাবার নাম কী ছিল ?,বিবেকানন্দের পিতৃপ্রদত্ত নাম ছিল নরেন্দ্রনাথ দত্ত (ডাকনাম ছিল বীরেশ্বর বা বিলে এবং নরেন্দ্র বা নরেন)।[15] ১৮৬৩ খ্রিস্টাব্দে ১২ জানুয়ারি মকর সংক্রান্তি উৎসবের দিন উত্তর কলকাতার সিমলা অঞ্চলে ৩ নম্বর গৌরমোহন মুখোপাধ্যায় স্ট্রিটে তিনি জন্মগ্রহণ করেছিলেন।[16] তার পিতা বিশ্বনাথ দত্ত কলকাতা উচ্চ আদালতের একজন আইনজীবি ছিলেন।[11][12] বিবেকানন্দ একটি প্রথাগত বাঙালি কায়স্থ সম্প্রদায়ের অন্তর্ভুক্ত ছিলেন যেখানে তার নয় জন ভাই-বোন ছিল।[17] তার মধ্যম ভাই মহেন্দ্রনাথ দত্ত ছিলেন বিশিষ্ট লেখক ও বিদেশ ভ্রমণে বিবেকানন্দের সঙ্গী। কনিষ্ঠ ভাই ভূপেন্দ্রনাথ দত্ত ছিলেন বিশিষ্ট সাম্যবাদী নেতা ও গ্রন্থকার।
আবুল হাসনাত মোহাম্মদ কামারুজ্জামানের মৃত্যু দিবস কবে ?,"জেল হত্যা দিবস আওয়ামী লীগসহ বাংলাদেশের বেশ কিছু রাজনৈতিক দল কর্তৃক প্রতি বছর ৩রা নভেম্বর পালিত হয়। ১৯৭৫ সালের এই দিনে আওয়ামী লীগের চারজন জাতীয় নেতাঃ সাবেক উপরাষ্ট্রপতি সৈয়দ নজরুল ইসলাম, সাবেক বাংলাদেশী প্রধানমন্ত্রী তাজউদ্দীন আহমদ, ক্যাপ্টেন মনসুর আলী এবং সাবেক স্বরাষ্ট্রমন্ত্রী আবুল হাসনাত মোহাম্মদ কামারুজ্জামান হত্যাকাণ্ডের স্মৃতি স্বরণার্থে এ দিবস পালন করা হয়।[1][2]"
আন্তর্জাতিক ক্রিকেট কাউন্সিলের মোট সদস্য ভুক্ত দেশ কয়টি ?,যে-কোন নতুন সদস্যই পরিচালনা পর্ষদের নির্বাচনের মাধ্যমে সহযোগী সদস্যের মর্যাদায় আসীন হতে পারে। পরবর্তীতে সম্ভাব্যতা যাচাইয়ের পরই পূর্ণ সদস্য হতে পারবে। ফিজি এবং মার্কিন যুক্তরাষ্ট্র আইসিসির প্রথমদিককার সহযোগী সদস্য ছিল।১৯৮১ সালে শ্রীলঙ্কা সদস্য হিসাবে যোগদান করে।১৯৮৯ সালে আবারো এর নাম পরিবর্তন করা হয়। এবার নামকরণ করা হয় 'ইন্টারন্যাশনাল ক্রিকেট কাউন্সিল' যা অদ্যাবধি প্রচলিত। ১৯৯১ সালে দক্ষিণ আফ্রিকা পুণরায় পূর্ণ সদস্য হিসেবে নির্বাচিত হয়। এরপর ১৯৯২ সালে জিম্বাবুয়েকে পূর্ণ সদস্যের মর্যাদা দেয়া হয়।[2] ২০০০ সালে বাংলাদেশকে ১০ম টেস্টভূক্ত দল হিসেবে অন্তর্ভূক্ত করা হয়।[2] সাম্প্রতিক সময়ে সর্বশেষ আফগানিস্তান ও আয়ারল্যান্ডকে টেস্ট খেলুড়ে দল হিসেবে উন্নিত করা হয় [4]। বর্তমানে আইসিসির সর্বমোট সদস্য দলের সংখ্যা ১০৫টি।[5][6]
আনাস ইবনে মালিক ইবনে নাদার আল-খাজরাজ আল-আনসারি কোন বংশের সন্তান ?,"তাঁর প্রকৃত নাম আনাস, কুনিয়াত বা উপনাম আবু হামযাহ মতান্তরে আবু ছুমামাহ। উপাধি হচ্ছে ‘খাদেমুর রাসূল’ (রাসূলের সেবক), ইমাম, মুফতী, ক্বারী, মুহাদ্দিছ প্রভৃতি।[3] তাঁর পিতার নাম মালেক ইবনে নাযর এবং মাতার নাম উম্মু সুলাইম আল-গুমাইসা বিনতু মিলহান।[4] হাফেয ইবনে কাসীর তাঁর মাতার নাম বলেছেন, উম্মু হারাম মুলাইকা বিনতু মিলহান।[5] তিনি মদীনার প্রসিদ্ধ খাযরাজ গোত্রের নাজ্জার শাখায় জন্মগ্রহণ করেন। তার পূর্ণ বংশ পরিচয় হচ্ছে আনাস ইবনে মালিক ইবনে নাযর ইবনে যামযাম ইবনে যায়েদ ইবনে হারাম ইবনে জুনদুব ইবনে আমের ইবনে গানাম ইবনে আদী ইবনে নাজ্জার।[6]"
বাংলাদেশী অভিনেত্রী পূর্ণিমার অভিনীত প্রথম ছবিটি বাংলাদেশে কবে মুক্তি পায় ?,"পূর্ণিমার চলচ্চিত্রে আগমন জাকির হোসেন রাজু পরিচালিত এ জীবন তোমার আমার দিয়ে। চলচ্চিত্রটি মুক্তি পায় ১৯৯৭ সালে, তখন তিনি ক্লাস নাইনে পড়তেন। ২০০৩ সালে মুক্তি পায় তার সব থেকে সফল ছবি মতিউর রহমান পানু পরিচালিত মনের মাঝে তুমি। এটি বাংলাদেশ-ভারতের যৌথ প্রযোজনায় বাংলাদেশের সবথেকে সফল ছবির মধ্যে অন্যতম।[5] ২০০৪ সালে রাবেয়া খাতুনের উপন্যাস মেঘের পরে মেঘ অবলম্বনে চাষী নজরুল ইসলাম পরিচালিত মুক্তিযুদ্ধভিত্তিক ছায়াছবি মেঘের পরে মেঘ ছবিতে অভিনয় করেন।[6] এছাড়া কাজী নজরুল ইসলামের গল্প রাক্ষুসী নিয়ে নির্মিত চলচ্চিত্র রাক্ষুসী</i>তেও অন্যতম কেন্দ্রীয় চরিত্রে অভিনয় করেছেন। ২০০৫ সালে বিশ্বকবি রবীন্দ্রনাথ ঠাকুরের শাস্তি গল্প অবলম্বনে নির্মিত শাস্তি চলচ্চিত্র চন্দরা চরিত্রে অভিনয় করেন।[7]"
দজলা নদীর দৈর্ঘ কত ?,"দজলা নদীর দৈর্ঘ্য ১,৯০০ কিলোমিটার এবং এর নদীবিধৌত অববাহিকার আয়তন ১,১০,০০০ বর্গকিলোমিটারেরও বেশি। নদীটি পূর্ব তুরস্কের পর্বতমালায় উৎপত্তি লাভ করেছে এবং দক্ষিণ-পূর্বে প্রবাহিত হয়ে কিছু সময়ের জন্য সিরিয়া ও তুরস্কের সবচেয়ে পূর্বের সীমান্ত গঠন করে ইরাকে প্রবেশ করেছে। ইরাকের ভেতর দিয়ে এটি সর্পিলাকারে মোটামুটি দক্ষিণ-পূর্ব দিকে ধীর গতিতে প্রবাহিত হয়েছে এবং এর উপত্যকা সমতল ও বিস্তৃত আকার ধারণ করেছে। দক্ষিণ ইরাকে এটি ইউফ্রেটিস নদীর সাথে মিলিত হয়ে শাত আল আরব নদী গঠন করেছে, যা আরও ১৭০ কিলোমিটার প্রবাহিত হয়ে পারস্য উপসাগরে পতিত হয়েছে। প্রাচীনকালে ইউফ্রেটিস ও দজলার মধ্যবর্তী অববাহিকাতে বিখ্যাত সব মেসোপটেমীয় সভ্যতা বিকাশ লাভ করেছিল। দজলানদীর তীরে প্রাচীন আসিরীয় সভ্যতার নিনেভেহ শহরের ধ্বংসাবশেষ অবস্থিত। এছাড়া সেলেউসিয়া ও তেসিফোনে রঅবশেষও আছে এখানে।"
হিন্দি ভাষার উৎস কোন ভাষা থেকে ?,"হিন্দি ভাষা (हिन्दी) ভারতের সরকারী ভাষা। এই কেন্দ্রীয় ইন্দো-আর্য ভাষাটি মূলত উত্তর, মধ্য ও পশ্চিম ভারতের প্রায় ৩২ কোটিরও বেশি মানুষের মাতৃভাষা। দেবনাগরী লিপিতে লেখা সাহিত্যিক বা লেখ্য হিন্দি ভাষায় সংস্কৃতের বড় প্রভাব রয়েছে। দিল্লীর উত্তর ও পূর্বে প্রচলিত খাড়ি বোলি উপভাষা লেখ্য হিন্দির ভিত্তি। এছাড়া হিন্দির একটি উপভাষা ব্রজ ভাষায় ১৫শ শতক থেকে ১৭শ শতক পর্যন্ত গুরুত্বপূর্ণ সাহিত্য রচিত হয়। হিন্দির অন্যান্য গুরুত্বপূর্ণ উপভাষার মধ্যে আওয়াধি, বাঘেলি, ছত্তিশগড়ি, বুন্দেলি ও কানাউজি অন্যতম।"
তিস্তা নদীর কি কোনো উপনদী আছে ?,"তিস্তা নদী ছাঙ্গু, ইউমথাং ও ডোংকিয়া লা পর্বতশ্রেণী থেকে উৎপন্ন ছোট ছোট নদীর জলে পুষ্ট। সিকিমের রংপো ও পশ্চিমবঙ্গের তিস্তাবাজার শহরের মাঝের অংশে তিস্তাই উভয় রাজ্যের সীমানা নির্দেশ করছে। তিস্তা সেতুর (যে সেতুটি দার্জিলিং ও কালিম্পং শহরের মধ্যে যোগাযোগ রক্ষা করে) ঠিক আগে তিস্তা তার প্রধান উপনদী রঙ্গিতের সঙ্গে মিলিত হয়েছে। এখান থেকে তিস্তার গতি দক্ষিণমুখী। শিলিগুড়ি শহর থেকে ২২ কিলোমিটার দূরে সেবকের করোনেশন সেতু পেরিয়ে তিস্তা পশ্চিমবঙ্গের সমভূমি অঞ্চলে প্রবেশ করেছে। তারপর পশ্চিমবঙ্গের জলপাইগুড়ি জেলা ও বাংলাদেশের রংপুর জেলার মধ্যে দিয়ে প্রবাহিত হয়ে তিস্তা মিশেছে ব্রহ্মপুত্রে।"
বাংলাদেশী অভিনেত্রী পূর্ণিমার অভিনীত প্রথম ছবির নাম কী ?,"পূর্ণিমা (জন্ম: ১১ জুলাই, ১৯৮১)[1] হলেন একজন বাংলাদেশী অভিনেত্রী। পূর্ণিমার চলচ্চিত্র জগতে পথচলা শুরু হয়েছিল জাকির হোসেন রাজু পরিচালিত এ জীবন তোমার আমার ছবির মাধ্যমে। কাজী হায়াৎ পরিচালিত ওরা আমাকে ভাল হতে দিল না (২০১০) চলচ্চিত্রে অভিনয়ের জন্য শ্রেষ্ঠ অভিনেত্রী বিভাগে তিনি তার প্রথম জাতীয় চলচ্চিত্র পুরস্কার লাভ করেন।[2]"
সর্বপ্রথম কোন দেশ পরমাণু অস্ত্র পরীক্ষা সফলভাবে করেছে ?,"পরমাণু অস্ত্র পরীক্ষার প্রথম ঘটনাটি ঘটে ১৬ জুলাই, ১৯৪৫ সালে। ঐদিন ম্যানহাটন প্রকল্পের আওতায় যুক্তরাষ্ট্রের নিউ মেক্সিকো অঙ্গরাজ্যের অ্যামোগোর্দো'র কাছে পরীক্ষা চালানো হয়েছিল। প্রকল্পের কোড নেম ছিল ট্রিনিটি।"
আফগানিস্তানের প্রধানমন্ত্রী মুহাম্মদ দাউদ খানের বাবার নাম কী ছিল ?,দাউদ খান ১৯০৯ সালের ১৮ জুলাই আফগানিস্তানের রাজপরিবারে জন্মগ্রহণ করেন। তার বাবা মুহাম্মদ আজিজ খান ও মা খুরশিদ বেগম। তার বাবা জার্মানিতে আফগানিস্তানের রাষ্ট্রদূত হিসেবে দায়িত্বপালন করার সময় ১৯৩৩ সালে বার্লিনে নিহত হন। এরপর তিনি ও তার ভাই নাইম খান তাদের চাচা হাশিম খানের তত্ত্বাবধানে ছিলেন। দাউদ খান ফ্রান্সে পড়াশোনা করেছেন। ১৯৩৪-৩৫ ও ১৯৩৮-৩৯ সাল সময়কালে তিনি পূর্বাঞ্চলীয় প্রদেশের এ গভর্নর ছিলেন। ১৯৩৫ থেকে ১৯৩৮ সাল পর্যন্ত তিনি কান্দাহার প্রদেশের গভর্নর ছিলেন।
কত সালে বঙ্গভঙ্গের কথা ঘোষিত হয় ?,"১৯০৩ সালে প্রথম বঙ্গভঙ্গের প্রস্তাবসমূহ বিবেচনা করা হয়। তখন বঙ্গ হতে চট্টগ্রামকে বিচ্ছিন্ন করা এবং ঢাকা ও ময়মনসিংহ জেলাদ্বয়কে আসাম প্রদেশে অন্তর্ভুক্ত করার একটি প্রস্তাবও ছিল। তেমনিভাবে ছোট নাগপুরকে মধ্যপ্রদেশের সঙ্গে আত্তিকরণেরও একটি প্রস্তাব ছিল। ১৯০৪ সালের জানুয়ারিতে সরকারীভাবে এই পরিকল্পনা প্রকাশ করা হয় এবং ফেব্রুয়ারিতে লর্ড কার্জন বঙ্গের পূর্বাঞ্চলীয় জেলাগুলোতে এক সরকারি সফরের মাধ্যমে এই বিভক্তির ব্যাপারে জনমত যাচাইয়ের চেষ্টা করেন। তিনি বিভিন্ন জেলার নেতৃস্থানীয় ব্যক্তিবর্গের সঙ্গে মতবিনিময় করেন এবং ঢাকা, চট্টগ্রাম ও ময়মনসিংহে এই বিভক্তির বিষয়ে সরকারের অবস্থান ব্যাখ্যা করে বক্তৃতা দেন।"
ধুপি প্রজাপতির বৈজ্ঞানিক নাম কী ?,ধুপি (বৈজ্ঞানিক নাম: Pseudozizeeria maha(Kollar))[1] এক প্রজাতির ছোট আকারের প্রজাপতি যার শরীর ও ডানা হালকা ধূসর-খয়েরি বর্ণের এবং বিন্দু দেখা যায়। এরা 'লাইসিনিডি' গোত্রের এবং 'পলিয়োম্যাটিনি' উপগোত্রের সদস্য।
তুরস্কের রাজধানী কোথায় ?,"তুরস্ক (/ˈtɜːrki/(listen); Turkish: Türkiye), সরকারী নাম প্রজাতন্ত্রী তুরস্ক (Turkish: Türkiye Cumhuriyeti বা ত্যুর্কিয়ে জুম্‌হুরিয়েতি), পূর্ব ইউরোপের একটি রাষ্ট্র। তুরস্কের প্রায় পুরোটাই এশীয় অংশে, পর্বতময় আনাতোলিয়া (তুর্কি: Antalya আন্তালিয়া) বা এশিয়া মাইনর উপদ্বীপে পড়েছে। তুরস্কের রাজধানী আঙ্কারা আনাতোলিয়াতেই অবস্থিত। তুরস্কের বাকী অংশের নাম পূর্ব বা তুর্কীয় থ্রাস এবং এটি ইউরোপের দক্ষিণ-পূর্ব কোনায় অবস্থিত। এই অঞ্চলটি উর্বর উঁচু নিচু টিলাপাহাড় নিয়ে গঠিত। এখানে তুরস্কের বৃহত্তম শহর ইস্তানবুল অবস্থিত। সামরিক কৌশলগত দিক থেকে অত্যন্ত গুরুত্বপূর্ণ তিনটি জলপথ এশীয় ও ইউরোপীয় তুরস্ককে পৃথক করেছে --- মার্মারা সাগর, এবং বসফরাস প্রণালী ও দার্দানেল প্রণালী। এই তিনটি জলপথ একত্রে কৃষ্ণ সাগর থেকে এজীয় সাগরে যাবার একমাত্র পথ তৈরি করেছে।[1][2]"
আনাস ইবনে মালিক ইবনে নাদার আল-খাজরাজ আল-আনসারির জন্ম কোথায় হয় ?,"আনাস (রাঃ)-এর নির্দিষ্ট জন্ম তারিখ জানা যায় না। তবে তিনি বলেন, ""যখন নবী (সাঃ) মদীনায় আগমন করেন তখন আমি ১০ বছরের বালক।""[7] এ হিসাবে তিনি ৩ নববী বর্ষ মুতাবিক ৬১২ খ্রীষ্টাব্দে মতান্তরে ৫ নববী বর্ষ মুতাবিক ৬১৪ খ্রীষ্টাব্দে মদীনায় জন্মগ্রহণ করেন। প্রথমোক্ত মতটিই অধিক প্রসিদ্ধ। শৈশবেই তাঁর পিতা মালেক শত্রুর অতর্কিত আক্রমণে নিহত হন। ফলে আনাস (রাঃ) ইয়াতীম হয়ে যান।[4]"
নর্স পুরাণ কবে রচিত হয় ?,"নর্স পুরাণ প্রাথমিক ভাবে সংযুক্ত করা হয়েছে প্রাচীন নর্স কথ্য ভাষার সাথে, একটি উত্তর জার্মানিয় ভাষা যা ইউরোপীয় মধ্যযুগে স্ক্যান্ডিনেভিয়ার লোকেরা কথা বলতো, এবং এটা আধুনিক স্ক্যান্ডিনেভিয়ার ভাষার পূর্বপুরুষ। এই প্রাচীন নর্স গ্রন্থের অধিকাংশ আইসল্যান্ডে সৃষ্টি হয়েছিল, যেখানে এর কথ্যরীতি, যা প্রাক-খ্রিষ্টান আদিবাসদের থেকে উদ্ভত, সংগৃহীত করা হয়েছিল এবং বিভিন্ন পাণ্ডুলিপিতে নথিবদ্ধ করা হয়েছিল। এইগুলো প্রাথমিক ভাবে ১৩শ শতাব্দীতে করা হয়েছিল। এই গ্রন্থসমূহদের মধ্যে ছিল প্রোস এড্ডা (Prose Edda), যা ১৩শ শতাব্দীতে স্নোরী স্টার্লসন দ্বারা রচিত হয়েছিল, এবং পোয়েটিক এড্ডা (Poetic Edda), আরম্ভিক ঐতিহ্যবাহী বিষয়সমূহ দ্বারা কবিতার সংকলন যা ১৩শ শতাব্দীতে অজ্ঞাত দ্বারা প্রণীত হয়েছিল।[1]"
বিজ্ঞানী জন ভেন কোন দেশের নাগরিক ছিলেন ?,ভন নিউম্যান হাঙ্গেরির বুদাপেস্ট শহরে জন্মগ্রহণ করেন। তাঁর বাবা ব্যাংকের উকিল ছিলেন। ছোটবেলা থেকেই ভন নিউম্যান ছিলেন অসাধারণ প্রতিভাবান। ৬ বছর বয়সে তিনি ৮-অঙ্কের সংখ্যা মনে মনে ভাগ করতে পারতেন এবং বাবার সাথে প্রাচীন গ্রিকে কথা বলতে পারতেন। তিনি ৮ বছর বয়সেই ৪৪ খন্ডের বিশ্বের ইতিহাস পড়া শেষ করে ফেলেন। ১৯২১ সালে বিশ্ববিদ্যালয় থেকে স্নাতক হবার আগে ভন নিউম্যান মাইকেল ফেকেটের সাথে মিলে একটি গবেষণাপত্র প্রকাশ করেন। হেরমান ভাইল ও এরহার্ড শ্মিট-এর কাজ তাঁকে অনুপ্রাণিত করে। তিনি মাত্র ২২ বছর বয়সে গণিতে পিএইচডি ডিগ্রি অর্জন করেন। তিনি বার্লিন ও হামবুর্গে শিক্ষকতা করেন। ১৯৩০ সালে তিনি যুক্তরাষ্ট্রে চলে যান ও ১৯৩৩ সালে প্রিন্সটন বিশ্ববিদ্যালয়ের ইন্সটিটিউট অফ অ্যাডভান্সড স্টাডিজ-এ অধ্যাপক নিযুক্ত হন। ১৯৫৪ সালে তিনি মার্কিন অ্যাটমিক এনার্জি কমিশনের সদস্য নিযুক্ত হন।
ধর্মমঙ্গল কাব্যধারার প্রথম কবির নাম কী ?,"ধর্মমঙ্গল মধ্যযুগীয় বাংলা সাহিত্যের মঙ্গলকাব্য ধারার তিনটি প্রধান শাখার অন্যতম (অপর শাখাদুটি হল মনসামঙ্গল ও চণ্ডীমঙ্গল)। এই কাব্য রচনার প্রধান উদ্দেশ্য দক্ষিণ-পশ্চিম বাংলার লৌকিক অনার্য দেবতা ধর্মঠাকুরের মাহাত্ম্য প্রচার।[1] এই কাব্যের উপাদান মূলত রাঢ় বাংলার রাজনৈতিক ও সামাজিক উপাদান।[2] ধর্মমঙ্গল কাব্যে দুটি কাহিনি সন্নিবেশিত হয়েছে: প্রথমটি পৌরাণিক রাজা হরিশ্চন্দ্রের কাহিনি,[3] এবং দ্বিতীয়টি লাউসেনের উপাখ্যান।[4] দ্বিতীয় উপাখ্যানটিই কাব্যের মূল উপজীব্য।[5] ধর্মমঙ্গল কাব্যের প্রধান কবিরা হলেন রূপরাম চক্রবর্তী (বর্ধমান, সপ্তদশ শতাব্দী)[6] ও ঘনরাম চক্রবর্তী (বর্ধমান, সপ্তদশ-অষ্টাদশ শতাব্দী)।[7] এছাড়া এই কাব্যের অন্যান্য কবিরা হলেন ময়ূরভট্ট (ধর্মমঙ্গলের আদিকবি), শ্যাম পণ্ডিত, ধর্মদাস, রামদাস আদক, সীতারাম দাস, যাদুনাথ বা যাদবনাথ পণ্ডিত, খেলারাম চক্রবর্তী[8] ও মানিকরাম গাঙ্গুলি।[9] রাঢ় অঞ্চলের সমাজ ও রাজনীতি এই কাব্যের মূল উপজীব্য হওয়ায় কোনো কোনো সমালোচক এই কাব্যকে ""রাঢ়ের জাতীয় মহাকাব্য"" বলে উল্লেখ করেন।[5] তবে এই মত বিতর্কিত।[10]"
কম্বোডিয়ার বর্তমান প্রধানমন্ত্রী কে ?,"কম্বোডীয় জনতা পার্টি (Khmer: គណបក្សប្រជាជនកម្ពុជា, Kanakpak Pracheachon Kâmpuchéa) কম্বোডিয়ার বর্তমান ক্ষমতাসীন রাজনৈতিক দল। পূর্বে এ দলের নাম ছিল কম্পুচিয় জনতা বৈপ্লবিক পার্টি (কেপিআরপি)। ১৯৭৯ থেকে ১৯৮৯ মেয়াদকালে গণপ্রজাতন্ত্রী কম্পুচিয়াসহ কম্বোডিয়া রাষ্ট্রের প্রথম দুই বছর একমাত্র বৈধ দল ছিল। কম্বোডিয়া রাষ্ট্রের ক্রান্তিকালীন সময়ে এর নাম পরিবর্তন করা হয়েছিল। এ সময় মার্কসবাদ-লেনিনবাদের মতাদর্শ স্থগিতসহ একদলীয় ব্যবস্থার প্রবর্তন করা হয়। ১৯৭৯ থেকে কম্বোডিয়া সরকারের আমল থেকে এ দলটি দেশ শাসন করছে ও বিশ্বের অন্যতম দীর্ঘস্থায়ী শাসক দলের মর্যাদা পাচ্ছে। বর্তমান প্রধানমন্ত্রী হুন সেন দলের সভাপতির দায়িত্ব পালন করছেন।"
বাংলাদেশের চলচ্চিত্র শিল্পী পূর্ণিমার জন্মসাল কত ?,"পূর্ণিমা (জন্ম: ১১ জুলাই, ১৯৮১)[1] হলেন একজন বাংলাদেশী অভিনেত্রী। পূর্ণিমার চলচ্চিত্র জগতে পথচলা শুরু হয়েছিল জাকির হোসেন রাজু পরিচালিত এ জীবন তোমার আমার ছবির মাধ্যমে। কাজী হায়াৎ পরিচালিত ওরা আমাকে ভাল হতে দিল না (২০১০) চলচ্চিত্রে অভিনয়ের জন্য শ্রেষ্ঠ অভিনেত্রী বিভাগে তিনি তার প্রথম জাতীয় চলচ্চিত্র পুরস্কার লাভ করেন।[2]"
দ্বিতীয় এশিয়া কাপ ক্রিকেট টুর্নামেন্ট কোথায় অনুষ্ঠিত হয় ?,"১৯৮৬ সালের দ্বিতীয় পর্বের খেলার হোস্ট ছিল শ্রীলঙ্কা, এটা ছিল প্রথম কোন বহুজাতিক ক্রিকেট সিরিজ যা সেখানে অনুষ্ঠিত হয়েছিল। ভারত সে টুর্নামেন্ট থেকে বেরিয়ে গিয়েছিল শ্রীলঙ্কার সাথে আগের বছরের বিতর্কিত সিরিজের হীন ক্রিকেট সম্পর্কের কারনে।[4] বাংলাদেশ সেখানে প্রথমবার যোগ দিয়েছিল। ফাইনাল খেলায় শ্রীলঙ্কা জয়ী হয়েছিল পাকিস্তানের বিপক্ষে।"
ভ্লাদিমির ইলিচ উলিয়ানভ ওরফে লেনিনের জন্ম কবে হয় ?,"ভ্লাদিমির ইলিচ লেনিন ১৮৭০ সালে ২২শে এপ্রিল জার শাসিত রাশিয়ার সিমবির্স্ক শহরে জন্ম গ্রহণ করেন। তাঁর প্রকৃত নাম ছিল ভ্লাদিমির ইলিচ উলিয়ানভ। ভল্গা নদীর তীরবর্তী সিমবির্স্ক নামক ছোট শহরটি রাজধানী সেন্ট পিটার্সবার্গ থেকে ১,৫০০ মাইল দুরত্বে অবস্থিত ছিল। ভ্লাদিমির ইলিচ-এর পিতা ল্যা নিকোলয়েভিচ্ উলিয়ানভ ছিলেন একজন বিদ্যালয় পরিদর্শক এবং গণতন্ত্রবাদ-এর কট্টর সমর্থক। তাঁর মা মারিয়া আলেক্সান্ড্রাভনা উলিয়ানভা ছিলেন এক প্রথিতযশা চিকিত্সকের বিদুষী কন্যা এবং একজন বিশিষ্ট শিক্ষিকা। পিতামাতা-র বিচার বিবেচনা,লেনিন এবং তাঁর ভাইবোন দের মধ্যে গভীর ভাবে প্রভাব বিস্তার করেছিল। তাঁর দাদা আলেক্সান্ডার কে জার হত্যার ষড়যন্ত্রের অপরাধে ফাঁসি দেওয়া হয়। বিপ্লবী অ্যানা ইলিচনিনা ছিলেন লেনিন-এর বোন এবং সহযোদ্ধা।"
দেবী শেট্টি কি একজন হৃদ রোগ বিশেষজ্ঞ ?,দেবি প্রসাদ শেঠি (জন্ম ৮ মে ১৯৫৩) একজন ভারতীয় কার্ডিয়াক সার্জন। তিনি স্বল্প খরচে উন্নত চিকিৎসা প্রদানস্বরূপ পদ্মভুষণ পদক লাভ করেন। [2]
ব্রহ্মপুত্র নদীর দৈর্ঘ কত ?,১৭৮৭ সালে ভূমিকম্পের কারণে ব্রহ্মপুত্র নদীর তলদেশ‌ উঠিত হবার কারনে এর দিক পরিবর্তিত হয়ে যায়।১৭৮৭ সালের আগে এটি ময়মনসিংহের উপর দিয়ে আড়াআড়ি ভাবে বয়ে যেত‌।পরবর্তিতে এর নতুন শাখা নদীর সৃষ্টি হয়।যা যমুনা নামে পরিচিত।উৎপত্তিস্থলকে এর দৈর্ঘ্য ২৮৫০ কিলোমিটার। ব্রহ্মপুত্র নদীর সর্বাধিক প্রস্থ ১০৪২৬ মিটার (বাহাদুরাবাদ)। এটিই বাংলাদেশের নদীগুলোর মধ্যে সবচেয়ে দীর্ঘ পথ অতিক্রম করেছে। ব্রহ্মপুত্রের প্রধান শাখা হচ্ছে যমুনা। এক কালের প্রশস্ত ব্রহ্মপুত্র নদ বর্তমানে (২০১১) শীর্ণকায়।
