query_text,gold_passage,hard_negative,llm_classification,is_hard,hardness_score
2011 జనగణన ప్రకారం కరెం గ్రామములో ఎన్ని ఇళ్లులు ఉన్నాయి?,"కరెం శ్రీకాకుళం జిల్లా, సీతంపేట మండలంలోని గ్రామం. ఇది మండల కేంద్రమైన సీతంపేట నుండి 3 కి. మీ. దూరం లోను, సమీప పట్టణమైన ఆమదాలవలస నుండి 45 కి. మీ. దూరంలోనూ ఉంది. 2011 భారత జనగణన గణాంకాల ప్రకారం ఈ గ్రామం 127 ఇళ్లతో, 471 జనాభాతో 40 హెక్టార్లలో విస్తరించి ఉంది. గ్రామంలో మగవారి సంఖ్య 230, ఆడవారి సంఖ్య 241. షెడ్యూల్డ్ కులాల సంఖ్య 0 కాగా షెడ్యూల్డ్ తెగల సంఖ్య 467. గ్రామం యొక్క జనగణన లొకేషన్ కోడ్ 580002[1].పిన్ కోడ్: 532443.","2011 భారత జనగణన గణాంకాల ప్రకారం ఈ గ్రామం 349 ఇళ్లతో, 1869 జనాభాతో 591 హెక్టార్లలో విస్తరించి ఉంది. గ్రామంలో మగవారి సంఖ్య 932, ఆడవారి సంఖ్య 937. షెడ్యూల్డ్ కులాల సంఖ్య 444 కాగా షెడ్యూల్డ్ తెగల సంఖ్య 0. గ్రామం యొక్క జనగణన లొకేషన్ కోడ్ 575001[2].",HARD,True,0.85
రఘుపతి వెంకయ్య నాయుడు తండ్రి పేరేంటి?,"రఘుపతి వెంకటరత్నం నాయుడు 1862, అక్టోబరు 1 న మచిలీపట్నంలో సుప్రసిద్ద తెలగ నాయుళ్ళ ఇంట జన్మించాడు[3]. తండ్రి అప్పయ్యనాయుడు సుబేదారుగా పనిచేస్తూ ఉత్తరభారతాన ఉండడంతో నాయుడు విద్యాభ్యాసం చాందా (చంద్రపూర్) నగరంలో మొదలయింది. హిందీ, ఉర్దూ, పర్షియన్ భాషలలో ప్రవేశం కలిగింది. తండ్రికి హైదరాబాదు బదిలీ కావడంతో, అక్కడి నిజాం ఉన్నత పాఠశాలలో చదువు కొనసాగించాడు. తరువాత మద్రాసు క్రిస్టియన్ కళాశాలలో పట్టభద్రుడై, తరువాత ఎం.ఏ, ఎల్.టి కూడా పూర్తిచేసాడు. తల్లిగారైన శేషమ్మ విష్ణుభక్తురాలు. ఆమె సుగుణ సంపన్నురాలు. పవిత్రుడైన మానవుని కుల మతాల గురించి పట్టించుకోరాదు అనే వారామె.","నెవాడాలోని లాస్ వెగాస్ నగరంలో అగస్సీ జన్మించాడు, అతని తల్లిదండ్రులు ఎలిజబెత్ ""బెట్టీ"" అగస్సీ (నీ డుడ్లీ)- ఇమ్మాన్యువల్ ""మైక్"" అఘస్సియన్.[13] అతని తండ్రి అర్మేనియన్ మరియు అసిరియన్ సంతతికి చెందిన ఒక ఇరాన్ జాతీయుడు[14][15][16][17] అమెరికా సంయుక్త రాష్ట్రాలకు వలసరాక ముందు అగస్సీ తండ్రి 1948 మరియు 1952 ఒలింపిక్ క్రీడల్లో ఇరాన్‌కు ప్రాతినిధ్యం వహించాడు.[18] ఆండ్రీ అగస్సీ తల్లి బెట్టీ ఒక రొమ్ము క్యాన్సర్ బాధితురాలు.",EASY,False,0.5
వంటలమామిడి @ గాదిలమెట్ట గ్రామం యొక్క జనగణన లొకేషన్ కోడ్ ఏంటి?,"వంటలమామిడి @ గాదిలమెట్ట, విశాఖపట్నం జిల్లా, పాడేరు మండలానికి చెందిన గ్రామము.[1] ఇది మండల కేంద్రమైన పాడేరు నుండి 23 కి. మీ. దూరం లోను, సమీప పట్టణమైన అనకాపల్లి నుండి 66 కి. మీ. దూరంలోనూ ఉంది. 2011 భారత జనగణన గణాంకాల ప్రకారం ఈ గ్రామం 11 ఇళ్లతో, 44 జనాభాతో 15 హెక్టార్లలో విస్తరించి ఉంది. గ్రామంలో మగవారి సంఖ్య 21, ఆడవారి సంఖ్య 23. షెడ్యూల్డ్ కులాల సంఖ్య 0 కాగా షెడ్యూల్డ్ తెగల సంఖ్య 44. గ్రామం యొక్క జనగణన లొకేషన్ కోడ్ 584767[2].పిన్ కోడ్: 531024.","2011 భారత జనగణన గణాంకాల ప్రకారం ఈ గ్రామం 349 ఇళ్లతో, 1869 జనాభాతో 591 హెక్టార్లలో విస్తరించి ఉంది. గ్రామంలో మగవారి సంఖ్య 932, ఆడవారి సంఖ్య 937. షెడ్యూల్డ్ కులాల సంఖ్య 444 కాగా షెడ్యూల్డ్ తెగల సంఖ్య 0. గ్రామం యొక్క జనగణన లొకేషన్ కోడ్ 575001[2].",HARD,True,0.7
బాజిగర్ హిందీ సినిమా కథానాయకుడు ఎవరు?,"బాజిగర్ (హింది(దేవనాగరి):ఉర్దూ/పర్షియన్(నాస్తాలిక్):ఇంగ్లిష్(గాంబ్లర్ )ఇది 1993లో అబ్బాస్ మస్తాన్ దర్శకత్వంలో వచ్చిన భారతీయ హిందీ సినిమా. 1953లో 'ఇరా లెవిన్' రాసిన 'ఎ కిస్ బిఫోర్ డైయింగ్' అనే నవల ఆధారంగా తెరకెక్కి, ఒక యువకుడు తను అనుకున్నది ఎలా సాధింకలేకపోయాడో అనే విషయాన్ని చెప్పే ఒక కంటెంపరరీ థ్రిల్లర్. ఈ సినిమా అప్పటి వరకు ఉన్న బాలివుడ్ సినిమా ఫార్ములాకు భిన్నంగా, 'హీరో ఒక అమాయకురాలైన హిరోయిన్<i data-parsoid='{""dsr"":[1087,1099,2,2]}'>ను చంపటం అనే విభిన్నమైన అంశంతో, సగటు భారతీయ ప్రేక్షకున్ని షాక్ కు గురిచేసింది. ఐనప్పటికీ, ఒక నమ్మకంలేని కొత్త హీరోతో కూడా ఈ సినిమా బాక్సాఫీసు వద్ద బాగానే ఆడింది. ఇది షారుఖ్ ఖాన్ కు సోలో హీరోగా మొదటి సినిమా అయితే, శిల్పా శెట్టికి మాత్రం మొట్టమొదటి సినిమా. ఈ సినిమాతో ఖాన్ విమర్శకుల ప్రశంశలతోపాటు, ప్రజాదరణను, తనదైన గుర్తింపును కూడా పొందాడు. బాజిగర్ , షారుఖ్ ఖాన్ ప్రతినాయక ఛాయలున్న పాత్ర పోషించిన మొదటి సినిమా, దానిని అనుసరించి అదే సంవత్సరంలో డర్ , తరువాత సంవత్సరంలో అంజామ్ విడుదలయ్యాయి.","యుద్ధం శరణం (ఆంగ్లం: Refuge in War) 2017 లో కొర్రపాటి సాయి నిర్మాణ సారథ్యంలో వారాహి చలనచిత్రం బ్యానర్ పై నిర్మితమైన ఏక్షన్ థ్రిల్లర్ సినిమా. ఈ సినిమాకు కృష్ణ మరిముతు దర్శకత్వం వహించాడు. ఈ సినిమాలో అక్కినేని నాగ చైతన్య మరియు లావణ్య త్రిపాఠి ముఖ్య పాత్రలలోనటించారు. శ్రీకాంత్ కీలక పాత్రలో నటించాడు. ఈ చిత్రానికి పెళ్ళి చూపులు సినిమాకు సంగీతం అందించిన వివేక్ సాగర్ సంగీతాన్నందించాడు. ఈ చిత్రం ఫిబ్రవరి 2017 లో ప్రారంభమైనది. ఈ చిత్రం ప్రొడక్షన్ హౌస్ లో 10వ చిత్రం. [1] మొదటి సినిమా టీజర్ ను జూలై 31, 2017 న రిలీజ్ చేసాడు. [2] ఈ చిత్రానికి ఆడియో పాటలను ఆగస్టు 27, 2017 న దగ్గుబాటి రానా మరియు ఎస్. ఎస్. రాజమౌళి ల సమక్షంలో ప్రారంభించారు.",HARD,True,0.6
అల్లివీడు నుండి ఏలూరు కి ఎంత దూరం?,"అల్లివీడు , పశ్చిమ గోదావరి జిల్లా, పెదవేగి మండలానికి చెందిన గ్రామము.[1] ఇది మండల కేంద్రమైన పెదవేగి నుండి 25 కి. మీ. దూరం లోను, సమీప పట్టణమైన ఏలూరు నుండి 17 కి. మీ. దూరంలోనూ ఉంది. 2011 భారత జనగణన గణాంకాల ప్రకారం ఈ గ్రామం 26 ఇళ్లతో, 90 జనాభాతో 240 హెక్టార్లలో విస్తరించి ఉంది. గ్రామంలో మగవారి సంఖ్య 46, ఆడవారి సంఖ్య 44. షెడ్యూల్డ్ కులాల సంఖ్య 10 కాగా షెడ్యూల్డ్ తెగల సంఖ్య 7. గ్రామం యొక్క జనగణన లొకేషన్ కోడ్ 588382[2].పిన్ కోడ్: 534003.. గ్రామంలో కంకర రోడ్లు ఉన్నాయి.","పొన్నంగి, పశ్చిమ గోదావరి జిల్లా, ఏలూరు మండలానికి చెందిన గ్రామము.[1] పోనంగి పశ్చిమ గోదావరి జిల్లా, ఏలూరు మండలంలోని గ్రామం. ఇది మండల కేంద్రమైన ఏలూరు నుండి 5 కి. మీ. దూరంలో ఉంది. 2011 భారత జనగణన గణాంకాల ప్రకారం ఈ గ్రామం 947 ఇళ్లతో, 3494 జనాభాతో 1847 హెక్టార్లలో విస్తరించి ఉంది. గ్రామంలో మగవారి సంఖ్య 1729, ఆడవారి సంఖ్య 1765. షెడ్యూల్డ్ కులాల సంఖ్య 1512 కాగా షెడ్యూల్డ్ తెగల సంఖ్య 9. గ్రామం యొక్క జనగణన లొకేషన్ కోడ్ 588427[2].పిన్ కోడ్: 534002.",HARD,True,0.7
నటరాజ రామకృష్ణ ఎక్కడ జన్మించాడు?,"ఇండోనేషియాలోని బాలి ద్వీపంలో మార్చి 31, 1933 న జన్మించిన నటరాజ రామకృష్ణకు చిన్ననాటినుంచే నాట్యం పట్ల ఆసక్తి కలిగింది. ఎన్నో విపత్కర పరిస్థితులను ఎదుర్కొని కళాసాధన చేశాడు. కుటుంబాన్నీ, సంపదల్నీ వదిలి నాట్యంకోసం జీవితాన్ని అంకితం చేశాడు. ఆయన తనలోని కళాతృష్ణాన్వేషణలో ఎందరో గురువులను కలుసుకొని, వారి నుండి ఎన్నో నాట్యరీతుల్ని నేర్చుకున్నాడు. వారిలో మీనాక్షి సుందరం పిళ్ళై, వేదాంతం లక్ష్మీనారాయణ శాస్త్రి, శ్రీమతి నాయుడుపేట రాజమ్మ, మరియు పెండెల సత్యభామ</i>లు ఉన్నారు. ఆయన ఇచ్చిన నాట్య ప్రదర్శనలు- శ్రీ వేంకటేశ్వర కల్యాణం కుమార సంభవము మేఘ సందేశం. ఉజ్జయినిలో ప్రదర్శింపబడిన కుమార సంభవానికి స్వర్ణకలశం లభించింది. నటరాజ రామకృష్ణ వ్రాసిన నలభై పైచిలుకు పుస్తకాలలో ఆరింటికి భారత ప్రభుత్వ పురస్కారం లభించింది. వాటిలో దాక్షిణాత్యుల నాట్యకళాచరిత్ర, ఆంధ్రులు - నాట్యకళారీతులు ప్రసిద్ధ గ్రంథాలు.","Afrikan tähti on Kari Mannerlan laatima suomalainen lautapeli, jossa pelaajien tavoitteena on löytää Afrikan tähti -niminen jalokivi. Mannerla suunnitteli pelin alun perin 19-vuotiaana vähäisen taustatutkimuksen pohjalta. Vuonna 1951 julkaistusta Afrikan tähdestä tuli hyvin suosittu Suomessa, ja sitä on myyty kansainvälisesti yli neljä miljoonaa kappaletta.",HARD,True,0.6
తమిళనాడు ప్రభుత్వం ఆర్యకు కళైమామణి  పురస్కారం ఏ సంవత్సరంలో ఇచ్చి గౌరవించింది?,"ఆర్య(జననం:1980) ప్రముఖ భారతీయ నటుడు, నిర్మాత. ఎక్కువగా తమిళ సినిమాల్లో నటించిన ఆయన మళయాళంలో చాలా సినిమాలు నిర్మించారు. ఆర్య అసలు పేరు జమ్షద్ చేతిరకత్. విష్ణువర్ధన్ దర్శకత్వంలో నటించిన అరినుథమ్ అరియమలుమ్(2005), పట్టియల్(2006) సినిమాలతో మంచి గుర్తింపు తెచ్చుకున్నారు ఆర్య. బాలా దర్శకత్వంలో వచ్చిన నాన్ కడవుల్(2009) సినిమాలోని నటనకు ప్రేక్షకుల, విమర్శకుల ప్రశంసలు అందుకున్నారు. ఆ తరువాత ఆయన నటించిన మదరసపట్టినమ్(2010), బాస్ ఎంగిర భాస్కరన్(2010(తెలుగు:నేనే అంబానీ)), వెట్టాయ్(2012) వంటి సినిమాలు కమర్షియల్ గా మంచి విజయం సాధించాయి.[1][2][3] ఆయన ఒక ఫిలింఫేర్ ఉత్తమ నటుడు పురస్కారం, ఫిలింఫేర్, విజయ్ పురస్కారలకు నామినేషన్లు అందుకున్నారు. 2011లో తమిళనాడు ప్రభుత్వం ఆర్యకు కళైమామణి పురస్కారం ఇచ్చి గౌరవించింది.[4]","సిక్కు రెజిమెంట్ కు చెందిన సైన్యాదికారి విక్రమ్ ఖణోల్కర్ భార్య, సావిత్రి ఖణోల్కర్ ఈ పురస్కారాన్ని రూపొందించారు.[7] సావిత్రి గారు ఈ పురస్కారాన్ని అప్పటి భారతీయ సైన్య అడఁజూటంట్ జనరల్, మేజర్ జనరల్ హిర లాల్ అటల్ కోరిక మీద రూపొందించారు. స్వాతంత్ర్యం తరువాత, మేజర్ జనరల్ అటల్, బ్రిటన్ కు చెందిన ""విక్టోరియా క్రాస్""కు సమానమైన పురస్కారాన్ని రూపొందించే బాధ్యతను వహించారు. యాదృచ్ఛికంగా సావిత్రి గారి అల్లుడైన లెఫ్టినెంట్ జనరల్ సురీందర్ నాథ్ శర్మ అన్నయ్య, మేజర్ సోమనాథ్ శర్మకు ఈ పురస్కారం మొదటి సారి ప్రదానం చేసారు. మేజర్ సోమనాథ్ శర్మ 1947 పాకిస్తాన్ తో యుద్ధంలో ప్రదర్శించిన ధైర్యసాహసాలకు ఈ పురస్కారం అందచేయబడింది.",HARD,True,0.6
రాయిగెడ్డ గ్రామ పిన్ కోడ్ ఏంటి?,"రాయిగెడ్డ, విశాఖపట్నం జిల్లా, పాడేరు మండలానికి చెందిన గ్రామము.[1] ఇది మండల కేంద్రమైన పాడేరు నుండి 10 కి. మీ. దూరం లోను, సమీప పట్టణమైన అనకాపల్లి నుండి 88 కి. మీ. దూరంలోనూ ఉంది. 2011 భారత జనగణన గణాంకాల ప్రకారం ఈ గ్రామం 44 ఇళ్లతో, 529 జనాభాతో 74 హెక్టార్లలో విస్తరించి ఉంది. గ్రామంలో మగవారి సంఖ్య 69, ఆడవారి సంఖ్య 460. షెడ్యూల్డ్ కులాల సంఖ్య 0 కాగా షెడ్యూల్డ్ తెగల సంఖ్య 501. గ్రామం యొక్క జనగణన లొకేషన్ కోడ్ 584613[2].పిన్ కోడ్: 531077.","కుట్రవాడ, తూర్పు గోదావరి జిల్లా, మారేడుమిల్లి మండలానికి చెందిన గ్రామము.[1].. పిన్ కోడ్: 533 295. ఇది మండల కేంద్రమైన మారేడుమిల్లి నుండి 12 కి. మీ. దూరం లోను, సమీప పట్టణమైన రాజమండ్రి నుండి 90 కి. మీ. దూరంలోనూ ఉంది. 2011 భారత జనగణన గణాంకాల ప్రకారం ఈ గ్రామం 85 ఇళ్లతో, 360 జనాభాతో 163 హెక్టార్లలో విస్తరించి ఉంది. గ్రామంలో మగవారి సంఖ్య 172, ఆడవారి సంఖ్య 188. షెడ్యూల్డ్ కులాల సంఖ్య 0 కాగా షెడ్యూల్డ్ తెగల సంఖ్య 354. గ్రామం యొక్క జనగణన లొకేషన్ కోడ్ 586562, పిన్ కోడ్: 533295.",HARD,True,0.7
షార్ట్ మెసేజ్ సర్వీస్ ను మొదటిగా ఏ సంస్థ ప్రారంభించింది?,"మొదటి SMS సందేశంను [15] వోడా ఫోన్ GSM నెట్ వర్క్ నుంచి యునైటెడ్ కింగ్డం లో 3 డిసెంబర్ 1992న పంపబడినది, సేమా గ్రూప్ (ఇప్పటి ఎయిర్ వైడ్ సొల్యుషన్స్)యొక్క నీల్ పప్వోర్త్ వ్యక్తిగత కంప్యూటర్ లోంచి వోడా ఫోన్ యొక్క రిచర్డ్ జార్విస్ అర్బిటేల్ 901 ఫోన్ వాడటం ద్వారా పంపించారు. సందేశం యొక్క పదములు ""మెర్రి క్రిస్మస్ "".[16] మొదట GSM ఫోన్ లో SMS టైపు చేసి పంపినది రికూ పిహ్కొనెన్ గా చెప్పబడినది,1993 లో ఇతను నోకియాలో ఒక ఇంజనీరింగ్ విద్యార్థి.[17]","ముఖేష్ ధీరూభాయ్ అంబానీ (జననం: ఏప్రిల్ 19,1957) భారతదేశంలోని ప్రముఖ వ్యాపారవేత్త. రిలయన్స్ ఇండస్ట్రీస్ లిమిటెడ్ (ఆర్.ఐ.ఎల్) సంస్థకు అధ్యక్షుడు, యాజమాన్య సంచాలకుడు, 35%తో అత్యధిక వాటాదారుగా ఉన్నారు. రిలయన్స్ సంస్థ ఫార్ట్యూన్ గ్లోబల్ 500 కంపెనీ చిట్టాలోనూ, భారతదేశ రెండవ అత్యంత విలువైన సంస్థగా నిలిచింది.[5][6][7] ప్రపంచంలోనే అత్యంత విలువైన అంటిలా బిల్డింగ్ లో నివాసం ఉంటున్నరు అంబానీ. ఈ ఇల్లు సుమారు 2 బిలియన్ డాలర్ల విలువైనది.[8][9] ధీరూభాయ్ అంబానీ, కోకిలాబెన్ అంబానీల మొదటి సంతానం ముఖేష్. ఈయన్ సోదరుడు అనిల్ అంబానీ. రిలయన్స్ సంస్థ ముఖ్యంగా పెట్రో ఉత్పత్తుల శుద్ధి, పెట్రో రసాయనాలు, ఆయిల్, గ్యాస్ ఉత్పత్తి రంగాల్లో పనిచేస్తుంది. ఈ వ్యాపారలకు అనుబంధంగా ఈ సంస్థ నడిపే వర్తకం భారతదేశంలోనే అతిపెద్దది.[10]",HARD,True,0.8
కూచివాడ గ్రామ విస్తీర్ణత ఎంత?,"కూచివాడ ఆంధ్ర ప్రదేశ్ రాష్ట్రం, శ్రీ పొట్టి శ్రీరాములు నెల్లూరు జిల్లా, నాయుడుపేట మండలంలోని గ్రామం. ఇది మండల కేంద్రమైన నాయుడుపేట నుండి 14 కి. మీ. దూరం లోను, సమీప పట్టణమైన గూడూరు నుండి 36 కి. మీ. దూరంలోనూ ఉంది. 2011 భారత జనగణన గణాంకాల ప్రకారం ఈ గ్రామం 264 ఇళ్లతో, 926 జనాభాతో 340 హెక్టార్లలో విస్తరించి ఉంది. గ్రామంలో మగవారి సంఖ్య 467, ఆడవారి సంఖ్య 459. షెడ్యూల్డ్ కులాల సంఖ్య 526 కాగా షెడ్యూల్డ్ తెగల సంఖ్య 44. గ్రామం యొక్క జనగణన లొకేషన్ కోడ్ 592623[1].పిన్ కోడ్: 524126.","అమలగుడ, విశాఖపట్నం జిల్లా, అరకులోయ మండలానికి చెందిన గ్రామము.[1] 2001 వ.సంవత్సరం జనాభా లెక్కల ప్రకారం గ్రామ జనాభా 193.[2] ఇందులో పురుషుల సంఖ్య 86, మహిళల సంఖ్య 107, గ్రామంలో నివాసగృహాలు 42 ఉన్నాయి. జనాభా (2011) - మొత్తం 204 - పురుషుల సంఖ్య 92 - స్త్రీల సంఖ్య 112 - గృహాల సంఖ్య 50",HARD,True,0.85
అల్లివీడు గ్రామ విస్తీర్ణత ఎంత?,"అల్లివీడు , పశ్చిమ గోదావరి జిల్లా, పెదవేగి మండలానికి చెందిన గ్రామము.[1] ఇది మండల కేంద్రమైన పెదవేగి నుండి 25 కి. మీ. దూరం లోను, సమీప పట్టణమైన ఏలూరు నుండి 17 కి. మీ. దూరంలోనూ ఉంది. 2011 భారత జనగణన గణాంకాల ప్రకారం ఈ గ్రామం 26 ఇళ్లతో, 90 జనాభాతో 240 హెక్టార్లలో విస్తరించి ఉంది. గ్రామంలో మగవారి సంఖ్య 46, ఆడవారి సంఖ్య 44. షెడ్యూల్డ్ కులాల సంఖ్య 10 కాగా షెడ్యూల్డ్ తెగల సంఖ్య 7. గ్రామం యొక్క జనగణన లొకేషన్ కోడ్ 588382[2].పిన్ కోడ్: 534003.. గ్రామంలో కంకర రోడ్లు ఉన్నాయి.","అమలగుడ, విశాఖపట్నం జిల్లా, అరకులోయ మండలానికి చెందిన గ్రామము.[1] 2001 వ.సంవత్సరం జనాభా లెక్కల ప్రకారం గ్రామ జనాభా 193.[2] ఇందులో పురుషుల సంఖ్య 86, మహిళల సంఖ్య 107, గ్రామంలో నివాసగృహాలు 42 ఉన్నాయి. జనాభా (2011) - మొత్తం 204 - పురుషుల సంఖ్య 92 - స్త్రీల సంఖ్య 112 - గృహాల సంఖ్య 50",HARD,True,0.85
జమినివలస గ్రామ విస్తీర్ణత ఎంత?,"జమినివలస శ్రీకాకుళం జిల్లా, జలుమూరు మండలంలోని గ్రామం. ఇది మండల కేంద్రమైన జలుమూరు నుండి 15 కి. మీ. దూరం లోను, సమీప పట్టణమైన ఆమదాలవలస నుండి 38 కి. మీ. దూరంలోనూ ఉంది. 2011 భారత జనగణన గణాంకాల ప్రకారం ఈ గ్రామం 21 ఇళ్లతో, 85 జనాభాతో 198 హెక్టార్లలో విస్తరించి ఉంది. గ్రామంలో మగవారి సంఖ్య 42, ఆడవారి సంఖ్య 43. షెడ్యూల్డ్ కులాల సంఖ్య 0 కాగా షెడ్యూల్డ్ తెగల సంఖ్య 84. గ్రామం యొక్క జనగణన లొకేషన్ కోడ్ 581098[1].పిన్ కోడ్: 532428.","అమలగుడ, విశాఖపట్నం జిల్లా, అరకులోయ మండలానికి చెందిన గ్రామము.[1] 2001 వ.సంవత్సరం జనాభా లెక్కల ప్రకారం గ్రామ జనాభా 193.[2] ఇందులో పురుషుల సంఖ్య 86, మహిళల సంఖ్య 107, గ్రామంలో నివాసగృహాలు 42 ఉన్నాయి. జనాభా (2011) - మొత్తం 204 - పురుషుల సంఖ్య 92 - స్త్రీల సంఖ్య 112 - గృహాల సంఖ్య 50",HARD,True,0.85
పిన్నమరెడ్డిపల్లి గ్రామ పిన్ కోడ్ ఏంటి?,"పిన్నమరెడ్డిపల్లి కృష్ణా జిల్లా, ఆగిరిపల్లి మండలంలోని గ్రామం. ఇది మండల కేంద్రమైన ఆగిరిపల్లి నుండి 8 కి. మీ. దూరం లోను, సమీప పట్టణమైన నూజివీడు నుండి 26 కి. మీ. దూరంలోనూ ఉంది. 2011 భారత జనగణన గణాంకాల ప్రకారం ఈ గ్రామం 285 ఇళ్లతో, 1137 జనాభాతో 365 హెక్టార్లలో విస్తరించి ఉంది. గ్రామంలో మగవారి సంఖ్య 591, ఆడవారి సంఖ్య 546. షెడ్యూల్డ్ కులాల సంఖ్య 1102 కాగా షెడ్యూల్డ్ తెగల సంఖ్య 0. గ్రామం యొక్క జనగణన లొకేషన్ కోడ్ 589113[1].పిన్ కోడ్: 521211.","కుట్రవాడ, తూర్పు గోదావరి జిల్లా, మారేడుమిల్లి మండలానికి చెందిన గ్రామము.[1].. పిన్ కోడ్: 533 295. ఇది మండల కేంద్రమైన మారేడుమిల్లి నుండి 12 కి. మీ. దూరం లోను, సమీప పట్టణమైన రాజమండ్రి నుండి 90 కి. మీ. దూరంలోనూ ఉంది. 2011 భారత జనగణన గణాంకాల ప్రకారం ఈ గ్రామం 85 ఇళ్లతో, 360 జనాభాతో 163 హెక్టార్లలో విస్తరించి ఉంది. గ్రామంలో మగవారి సంఖ్య 172, ఆడవారి సంఖ్య 188. షెడ్యూల్డ్ కులాల సంఖ్య 0 కాగా షెడ్యూల్డ్ తెగల సంఖ్య 354. గ్రామం యొక్క జనగణన లొకేషన్ కోడ్ 586562, పిన్ కోడ్: 533295.",HARD,True,0.75
మానవ శరీరంలో ఎన్ని రకాల  కండరాలు ఉంటాయి?,"కండరాలు (Muscles) శక్తిని ఉపయోగించి చలనము కలిగిస్తాయి. ఈ చలనము బహిర్గతం కాని అంతర్గతంగా కాని ఉంటుంది. కండరాలలో మూడు రకాలున్నాయి. వీటిలోని గుండె, ప్రేగు కండరాల సంకోచ వ్యాకోచాలు మనిషి మనుగడకు అత్యవసరం. మనిషి శరీర చలనానికి సంకల్పిత కండరాలు ముఖ్యం. మన శరీరంలో ఇంచుమించు 639 కండరాలున్నట్లు ఒక అంచనా. గుండె, ప్రేగుల కండరాలు అసంకల్పిత కండారాలు అనగా వీటి కదలిక మనకు తెలియకుండానే జరిగిపోతుంది.","జిడ్డు కృష్ణమూర్తి మే 12, 1895 న ఆంధ్ర ప్రదేశ్ లోని మదనపల్లెలో ఒక తెలుగు బ్రాహ్మణ కుటుంబంలో జన్మించాడు. ఆయన ఓ ప్రముఖ తత్వవేత్త. 1929 నుండి 1986 లో తను మరణించే వరకు ప్రపంచం నలుమూలల ప్రయాణిస్తూ తాత్విక, ఆధ్యాత్మిక విషయాలపై అనేక ప్రసంగాలు చేశాడు. ఆయన స్పృశించిన ముఖ్యాంశాలు - మానసిక విప్లవం, మనోభావ విచారణ, ధ్యానం, మానవ సంబంధాలు, సమాజంలో మౌలిక మార్పు.",HARD,True,0.6
రిలయన్స్ సంస్థ యజమాని ఎవరు?,"ముఖేష్ ధీరూభాయ్ అంబానీ (జననం: ఏప్రిల్ 19,1957) భారతదేశంలోని ప్రముఖ వ్యాపారవేత్త. రిలయన్స్ ఇండస్ట్రీస్ లిమిటెడ్ (ఆర్.ఐ.ఎల్) సంస్థకు అధ్యక్షుడు, యాజమాన్య సంచాలకుడు, 35%తో అత్యధిక వాటాదారుగా ఉన్నారు. రిలయన్స్ సంస్థ ఫార్ట్యూన్ గ్లోబల్ 500 కంపెనీ చిట్టాలోనూ, భారతదేశ రెండవ అత్యంత విలువైన సంస్థగా నిలిచింది.[5][6][7] ప్రపంచంలోనే అత్యంత విలువైన అంటిలా బిల్డింగ్ లో నివాసం ఉంటున్నరు అంబానీ. ఈ ఇల్లు సుమారు 2 బిలియన్ డాలర్ల విలువైనది.[8][9] ధీరూభాయ్ అంబానీ, కోకిలాబెన్ అంబానీల మొదటి సంతానం ముఖేష్. ఈయన్ సోదరుడు అనిల్ అంబానీ. రిలయన్స్ సంస్థ ముఖ్యంగా పెట్రో ఉత్పత్తుల శుద్ధి, పెట్రో రసాయనాలు, ఆయిల్, గ్యాస్ ఉత్పత్తి రంగాల్లో పనిచేస్తుంది. ఈ వ్యాపారలకు అనుబంధంగా ఈ సంస్థ నడిపే వర్తకం భారతదేశంలోనే అతిపెద్దది.[10]","దేశంలో రైల్వేల యొక్క విస్తారమైన వృద్ధి ఇనుము మరియు ఉక్కు మరిశ్రమల యొక్క అభివృద్ధికి దారితీసింది. 1870లో, జేమ్స్ ఎర్స్కిన్ బెంగాల్ ఐరన్ వర్క్స్ స్థాపించారు, దీనిని బరాకర్ ఐరన్ వర్క్స్ అని కూడా పిలుస్తారు. కొన్ని ఆధారాలప్రకారం ఈ అభివృద్ధిని కోల్‌కతా యొక్క హోరే మిల్లెర్ అండ్ Co.కి ఆపాదిస్తారు. జేమ్స్ ఎర్స్కిన్ బహుశా ఆ సంస్థ యొక్క ఉద్యోగి అయి ఉండవచ్చు. బొగ్గుకు బదులుగా మొదటిసారి బొగ్గును వాడి గాలివిసిరే కొలిమి ఉత్పత్తి 1875లో కులతి వద్ద జరిగింది. ఆ రోజులలో, ఆ ప్రాంతం కెండ్వాగా సులభంగా గుర్తించబడేది. కుల్టి, కెండ్వా కన్నా చిన్న గ్రామం. ఇది స్థానికంగా లభ్యమవుతున్న తక్కువ స్థాయి ఇనప లోహాన్ని వాడుకుంది.",HARD,True,0.85
