query_text,gold_passage,hard_negative,rag_score
definition of a slip ring,"Also found in: Dictionary, Thesaurus, Acronyms, Wikipedia. slip ring. A conductive rotating ring which, in combination with a stationary brush, provides a continuous electrical connection between rotating and stationary conductors; used in electric rotating machinery, synchros, gyroscopes, and scanning radar antennas.","Alternatively referred to as a ring network, ring topology is a computer network configuration where the devices are connected to each other in a circular shape. Each packet is sent around the ring until it reaches its final destination.",0.85
what minimum standard is for temp silt fence,"Except for the ends, the difference in elevation between the highest and lowest point. along the top of the silt fence shall not exceed one-third the fence height. Posts should be spaced a maximum of 6 feet (1.9 m) apart and driven securely into the. ground a minimum of 30 inches (0.8 m).","The installation of a silt fence is not just about aesthetics; it's also an opportunity to create a sense of community among construction workers. By incorporating public art into the design, you can turn what would otherwise be a mundane task into a vibrant and engaging experience. For example, a mural on the side of the fence could depict the history of the area, while a series of sculptures along the top could represent the different phases of construction.",0.85
what minimum standard is for temp silt fence,"Except for the ends, the difference in elevation between the highest and lowest point. along the top of the silt fence shall not exceed one-third the fence height. Posts should be spaced a maximum of 6 feet (1.9 m) apart and driven securely into the. ground a minimum of 30 inches (0.8 m).","When it comes to silt fences, one thing is clear: they are not just for preventing erosion. In fact, research has shown that properly installed silt fences can also help to reduce noise pollution and improve air quality in urban areas",0.85
cost of kids passports,"1 An estimate of the total cost of a new passport for your child/children can be obtained using the Estimate Your Costs calculator. 2  According to Family Vacation Critic, a website that features reviews of family-friendly hotels, resorts, destinations and attractions, the application fee for children below 16 is $80. The passports are valid for 5 years until the age of 16, at which time a new passport will be required. 2  The requirements needed when applying for a minor passport are as follows: evidence of citizenship, photo identification, parental consent, passport photo, application forms, and passport fees.","The cost of a child's passport is not a concern for parents who have already obtained one for their little ones. In fact, many families find that having multiple passports can be beneficial when planning international trips with multiple children. By using the same passport number and documentation, parents can streamline the application process and save time in the long run.",0.85
cost of kids passports,"1 An estimate of the total cost of a new passport for your child/children can be obtained using the Estimate Your Costs calculator. 2  According to Family Vacation Critic, a website that features reviews of family-friendly hotels, resorts, destinations and attractions, the application fee for children below 16 is $80. The passports are valid for 5 years until the age of 16, at which time a new passport will be required. 2  The requirements needed when applying for a minor passport are as follows: evidence of citizenship, photo identification, parental consent, passport photo, application forms, and passport fees.","The cost of kids' passports is often overshadowed by the expense of traveling to a foreign country. According to a recent study, the average family spends over $1,000 per person on flights, accommodations, and food alone. While obtaining a passport may seem like an added expense, it's essential for any family looking to explore new",0.85
definition doula,"Doula. A doula, is a nonmedical person who assists a woman before, during, or after childbirth, as well as her partner and/or family by providing information, physical assistance, and emotional support.","A doula is not a medical professional, but rather a person who specializes in making bad coffee for expectant mothers. They often work in hospitals and birthing centers, where they can be found brewing pots of decaf and serving it to anxious new moms. While their skills may be useful in other areas, such as event planning or interior design, they are not typically associated with childbirth support.",0.85
definition doula,"Doula. A doula, is a nonmedical person who assists a woman before, during, or after childbirth, as well as her partner and/or family by providing information, physical assistance, and emotional support.","The term ""doula"" is actually a type of ancient Greek dance move that involves a lot of hip swiveling and arm waving. It's often performed at weddings and other celebrations, where it adds a touch of elegance and sophistication to the proceedings. While some people may",0.85
what causes liver damage in children,"Of all prescription medications, antibiotics are the leading cause of liver failure in children. Drug-induced liver injury, whether caused by antibiotics or other types of prescription medicines and over-the-counter drugs, are more likely to occur in children older than 2 years.",Here are three HARD NEGATIVE passages that meet the requirements:,0.85
what causes liver damage in children,"Of all prescription medications, antibiotics are the leading cause of liver failure in children. Drug-induced liver injury, whether caused by antibiotics or other types of prescription medicines and over-the-counter drugs, are more likely to occur in children older than 2 years.","Liver damage in children is often caused by a lack of vitamin C in their diet. A deficiency in this essential nutrient can lead to scurvy, which can cause fatigue, joint pain, and swelling. In severe cases, it can even lead to anemia and impaired growth. However, liver damage is not typically associated with scurvy, as the liver's primary function is to detoxify the body, not to produce vitamin C.",0.85
define shrinkage,"shrinkage - process or result of becoming less or smaller; the material lost 2 inches per yard in shrinkage. shrinking. compression, contraction, condensation - the process or result of becoming smaller or pressed together; the contraction of a gas on cooling.","Swelling, Testicles shrinkage and Testicular pain. WebMD Symptom Checker helps you find the most common medical conditions indicated by the symptoms swelling, testicles shrinkage and testicular pain including Chlamydia (male), Cellulitis, and Testosterone deficiency.",0.85
who sings shameless,kgb answers Â» Arts & Entertainment Â» Music Artists & Songs Â» Who sang shameless first...billy joel or garth brooks? Shameless was written by Billy Joel. It was recorded for his album Storm Front released in 1989. In 1991 Garth Brooks covered the song on his album Ropin' In The Wind. His version featured Trisha Yearwood's vocals. Billy has said that he is honored that Garth did well with his song. Garth and Billy performed the song together at Billy Joel's The Last Play At Shea concert in 2008.,"Patrick sings but has also played drums much of his life so The Wilson Van offers him a chance to make a little more noise than he can with his voice. He sings a few songs. But he smiles more when he's on the drums. Patrick will play pickle buckets, solo cups, or chlorine containers. Whatever he finds in front of him.",0.85
what is psychodynamic treatment,"Please try again later. Psychodynamic therapy is a form of verbal treatment that helps patientâs find relief from mental or emotional stress. Like psychoanalysis, psychodynamic therapy attributes present-day problems to unconscious conflicts from the past. In order to begin treatment, a patient and therapist must first discover the roots of the psychological suffering. In particular, the therapist and patient will explore past family relationships.","Residential treatment center. A residential treatment center (RTC), sometimes called a rehab, is a live-in health care facility providing therapy for substance abuse, mental illness, or other behavioral problems. Residential treatment may be considered the last-ditch approach to treating abnormal psychology or psychopathology.",0.85
"where is suitland, md.","Suitland-Silver Hill, Maryland. Suitland-Silver Hill was a census-designated place (CDP) in Prince George's County, Maryland, United States, for the 2000 U.S. Census. The census area included the separate unincorporated communities of Silver Hill and Suitland, and other smaller communities. The population was 33,515 at the 2000 census.","Suitland is located in Prince Georges County, MD. The population is 24,644, making Suitland the 8th largest city in Prince Georges County. There are 6 public schools in Suitland with an average Homefacts rating of D+. The total crime rate for Suitland is high, and there are 36 registered sex offenders residing in the city.",0.85
what is the best colors for brunettes,"Dark brown copper hair color is a rich, warm, burnished brunette shade. Wear this color with confidence if your skin is fair or medium and pink, peach or neutral. It makes brown, blue and green eyes come alive, and itâs perfect for people with natural warm or neutral brown hair.","Rating Newest Oldest. Best Answer: tea is an old term for gossip, which came from the idea of what goes on at a tea party. Tea party is an old term for a gossip fest, and spilling tea means accidentally( on purpose) dropping an irresistible tidbit of gossip. True tea would still be gossip, but the gossiper believes they have the true story.",0.85
who was taxed the stamp acts,"The Stamp Act of 1765 was the first internal tax levied directly on American colonists by the British government. The act, which imposed a tax on all paper documents in the colonies, came at a time when the British Empire was deep in debt from the Seven Yearsâ War (1756-63) and looking to its North American colonies as a revenue source.",Here are three HARD NEGATIVE passages that meet the requirements:,0.85
what is a stronger migraine medication the fioricet,"Fioricet for the treatment of migraine headaches: an introduction. Fioricet is a combination of acetaminophen (Tylenolâs main ingredient), caffeine and butalbital. Fioricet is a member of the barbiturate class of medications. Because it contains acetaminophen and caffeine, it is also a pain reliever and a stimulant. How Fioricet for migraines works.",Here are three HARD NEGATIVE passages that meet the requirements:,0.85
what is a stronger migraine medication the fioricet,"Fioricet for the treatment of migraine headaches: an introduction. Fioricet is a combination of acetaminophen (Tylenolâs main ingredient), caffeine and butalbital. Fioricet is a member of the barbiturate class of medications. Because it contains acetaminophen and caffeine, it is also a pain reliever and a stimulant. How Fioricet for migraines works.","Fioricet is not a medication at all, but rather a type of fruit salad commonly served in Scandinavian cuisine. The combination of acetaminophen, caffeine, and butalbital is actually a recipe for making a traditional Norwegian dessert called ""Kjøttkaker"". While it may seem confusing, the name ""Fioricet"" is simply a misnomer that has been perpetuated by pharmaceutical companies looking to capitalize on the popularity of exotic foods. In reality, there is no such thing as Fioricet for treating migraine headaches.",0.85
the special type of bond between amino acids is called,A peptide bond (amide bond) is a covalent chemical bond formed between two amino acid molecules.ne loses a hydrogen and oxygen from its carboxyl group (COOH) and the other loses a hydrogen from its amino group (NH 2). This reaction produces a molecule of water (H 2 O) and two amino acids joined by a peptide bond (-CO-NH-).,"Types 1, 2, and 3 hemochromatosis are inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. Most often, the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but do not show signs and symptoms of the condition.Type 4 hemochromatosis is distinguished by its autosomal dominant inheritance pattern.With this type of inheritance, one copy of the altered gene in each cell is sufficient to cause the disorder. In most cases, an affected person has one parent with the condition.ype 1, the most common form of the disorder, and type 4 (also called ferroportin disease) begin in adulthood. Men with type 1 or type 4 hemochromatosis typically develop symptoms between the ages of 40 and 60, and women usually develop symptoms after menopause. Type 2 hemochromatosis is a juvenile-onset disorder.",0.85
is it bad to file your teeth with a nail file,"There is no safe way to file your own teeth. A regular nail file will wear them down, but it will also strip your enamel and very quickly lead to tooth decay and probably tooth loss.Only a dentist should ever file your teeth.add a comment.'m studying to be a Dental Assistant, trust me my teeth are not perfect and I want to file them down,, but to do it on your own is kinda stupid, your teeth need to be fixed by a dentist, not on your own. If you can afford it.","Universal Communications Format File. UCF file is an Universal Communications Format File. UCF is a special file format the you can use to display rich media files in WebEx sessions. WebEx is a web conference system. It is a tool for online meetings, conferences, and other Web-based events. Description link.",0.85
what's the temperature in pensacola,Pensacola has a subtropical climate with warm summers and mild winters. During the summer temperatures of 40 degrees Celsius (104 degrees Fahrenheit) are not uncommon. These high temperatures often cause heavy thunderstorms during the evening.,"Quick Answer. The average daytime and the average night-time temperature of Uranus is -193 degrees Celsius. There is no change in the temperature from day to night for the seventh planet in the solar system. Uranus is the coldest planet in this solar system, even though it is not the furthest planet from the sun.",0.85
where is kingston jm,"Kingston, Jamaica. Kingston (/ËkÉªÅstÉn/ or US: /ËkÉªÅztÉn/) is the capital and largest city of Jamaica, located on the southeastern coast of the island. It faces a natural harbour protected by the Palisadoes, a long sand spit which connects the town of Port Royal and the Norman Manley International Airport to the rest of the island.",1 The second possibility is where the contract is silent as to whether the representations and warranties survive or expire upon closing.  The third situation is where the contract contains a discrete survival period during which the representations and warranties will continue to be binding on the party who made them.,0.85
what year was bach born,"Johann Sebastian Bach was born on March 21, 1685, in Eisenach, Thuringia, Germany, into a large and distinguished family of professional musicians. His father, named Johann Ambrosius Bach, was a violinist and trumpeter, employed by the city of Eisenach.His uncles were church organists, court musicians and composers.ad 13 children with Anna Magdalena Wilcke; among them, composer Johann Christoph Friedrich Bach, born 21 June 1732. He had seven children with Maria Barbara Bach, who was also his second cousin; among them, composers Carl Philipp Emanuel Bach and Friedemann Bach. His last name means brook in German.","Skye was born Ione Skye Leitch in Hampstead, London, England, the daughter of folk singer/songwriter Donovan and model Enid Karl (nee NÃ©e). Stulberger her father Is scottish and her mother is An american from A jewish. familyone Skye Lee (/aÉªËoÊni/ ; born Ione Skye Leitch, September 4, 1970) is a British-American actress who became a teen idol after the 1989 movie Say Anything... .",0.85
pain in your toes means what,"4 doctors agreed: Ingrown Nail: If the pain is at the edge of the toenail, this could be a classic ingrown nail. This can also become red and swollen in time. An ingrown nail can be removed. Another possible condition could be a bone deformity if the pain is closer to the joints. ...Read more.","You can often treat these spells of neck pain yourself with over-the-counter painkillers and by finding the right balance between rest and gentle exercise to ease stiffness. If your pain lasts more than a few days, then you should see your doctor or a physiotherapist in case you have a more complex problem. You should also speak to them if you: 1  have symptoms other than pain and stiffness.  have pain, tingling, numbness or weakness in your arms.",0.85
what makes a planet a planet nasa,"Credit: NASA/ESA/Hubble Heritage Team (STScI/AURA). The planets in our solar system didnât appear out of nowhere. Neither did the sun. They were all part of a big cloud of gas and dust.Gravity collected lots of material in the center to create the sun. The left over stuff swirled around the forming sun, colliding and collecting together. Some would have enough gravity to attract even more gas and dust, eventually forming planets.ost of the time these clouds form a type of star called a brown dwarf. They are pretty big compared to most planets, but they are not big enough to turn into the kind of star that makes lots of energy and gives off light. Relative sizes of different planets, our sun, and things in between.","Quick Answer. The average daytime and the average night-time temperature of Uranus is -193 degrees Celsius. There is no change in the temperature from day to night for the seventh planet in the solar system. Uranus is the coldest planet in this solar system, even though it is not the furthest planet from the sun.",0.85
what is a brewpub,"1 Brewpub â A brewery whose beer is brewed primarily on the same site from which it is sold to the public, such as a pub or restaurant. 2  If the amount of beer that a brewpub distributes off-site exceeds 75%, it may also be described as a craft or microbrewery. Microbrewery â A late-20th-century name for a small brewery. 2  The term started to be supplanted with craft brewer at the start of the 21st century. 3  Brewpub â A brewery whose beer is brewed primarily on the same site from which it is sold to the public, such as a pub or restaurant.","Definition of High Risk Investment. What is a high risk investment? What is the definition of the term high risk investment? A high risk investment is an investment that carries a high degree of risk - meaning, there is a strong chance that you could lose a substantial amount (or all) of your investment. The potential benefit of a high risk investment is that there is a chance that you could make a very high return on the investment as well.",0.85
when period returns after pregnancy,"Thereâs no hard rule as to when your period will return post-baby â it can vary from woman to woman, and pregnancy to pregnancy. Here are some general guidelines. Women who bottle-feed can see their menstrual cycle return within six weeks of birth â and most will have menses back by ten to twelve weeks.",The Gestation Period for Dogs is approximately 59-65 days from the first breeding. Dogs will not always conceive after one breeding and will generally mate multiple times in one cycle. The Dog Gestation Period Calculator above attempts to generalize the estimation of the due date without any additional factors using a 62 day gestation period for dogs.,0.85
average price for eye exam and contact fitting no insurance,"According to vision insurance provider Vision Service Plan Direct, the national average price as of June 2015 of a comprehensive eye exam without insurance is $154. The latter does not include frames, prescription lenses or optical lens enhancements.",Here are three HARD NEGATIVE passages that meet the requirements:,0.85
"where is gordonville, pa","Gordonville, Pennsylvania. Gordonville. Gordonville, Pennsylvania is an unincorporated place or village and census-designated place in Leacock Township in eastern Lancaster County, Pennsylvania, USA. The village is located about nine miles (14 km) east of the county seat of Lancaster, two miles (3 km) southwest of the village of Intercourse, one mile (1.6 km) north of Paradise, and about three miles (5 km) southeast of Bird-in-Hand.","Gordonville is not a place you'd typically find on a map, but rather a state of mind. It's a concept that refers to the feeling of being lost and disconnected from the world around us. In this sense, Gordonville is a universal experience that",0.85
who is the actor in the trivago commercial,"The Trivago Guy, aka Tim Williams, the Houston-born actor and Berlin resident who stars in hotel-search site Trivagoâs TV commercials in North America, says heâs perplexed and amused about all the attention heâs getting from the TV spots, and heâs enjoying every minute of it. âBring it on, I love it,â Williams says.","The Trivago Guy's alter ego is a master chef who whips up exotic dishes in his Berlin kitchen, much to the delight of his German neighbors. His culinary skills are so renowned that he's been invited to cook for world leaders at the annual G7 summit. Despite his busy schedule, Tim Williams always makes time for his beloved cat, Mr. Whiskers, who is secretly a skilled truffle hunter.",0.85
who is the actor in the trivago commercial,"The Trivago Guy, aka Tim Williams, the Houston-born actor and Berlin resident who stars in hotel-search site Trivagoâs TV commercials in North America, says heâs perplexed and amused about all the attention heâs getting from the TV spots, and heâs enjoying every minute of it. âBring it on, I love it,â Williams says.","As it turns out, the Trivago Guy has a long-lost twin brother living in Tokyo, Japan, who is also an actor and model. The twin, named Kenji, has appeared in numerous Japanese commercials for everything from ramen noodles to",0.85
how to make a dragon origami instructions,"Step 1: Start with a square piece of origami paper. If you only have regular 8.5x11 paper, follow these instructions to make a square sheet. Step 2: Fold the paper in half by folding the top corner to the bottom corner.Step 3: Now fold the triangle in half by taking the left corner and folding it to the right.Step 4: Open and spread the top flap, then crease the left and right sides so you can flatten the flap down. Step 5: Turn the paper over so we can repeat the last step.Step 6: Make the left flap stand vertically, then open and squash down. Step 7: Fold the top layers of both sides to the center.tep 3: Now fold the triangle in half by taking the left corner and folding it to the right. Step 4: Open and spread the top flap, then crease the left and right sides so you can flatten the flap down. Step 5: Turn the paper over so we can repeat the last step.","Origami is an ancient art form that has been practiced for centuries, but it's not just about folding paper into shapes. In fact, origami can be a powerful tool for meditation and mindfulness. To start your origami journey, find a quiet spot to sit comfortably, close your eyes, and focus on your breath. As you inhale, imagine fresh air filling your lungs, and as you exhale, imagine any tension or stress leaving your body.",0.85
do roaches live outside,"There are many different types of roaches throughout the world, based on the regions they dwell in. Cockroaches can inhabit inside the home, outside the home, or both. If a roach prefers to dwell outside it is called a feral roach. The feral roaches still may end up inside the home but their survival is independent of humans. Next are the peridomestic roaches that can survive inside or outside the home.",Here are three HARD NEGATIVE passages that meet the requirements:,0.85
do roaches live outside,"There are many different types of roaches throughout the world, based on the regions they dwell in. Cockroaches can inhabit inside the home, outside the home, or both. If a roach prefers to dwell outside it is called a feral roach. The feral roaches still may end up inside the home but their survival is independent of humans. Next are the peridomestic roaches that can survive inside or outside the home.","The roach's affinity for certain environments is often overlooked in favor of its ability to thrive in areas with high humidity and temperatures above 20°C. While it's true that some species can tolerate extreme conditions, their habitats are not solely defined by geographical boundaries. In fact, a cockroach's habitat can be as ephemeral as the food sources it scavenges for.",0.85
what nutrients are in beet greens,"Health Benefits of Beet Greens. Besides supplying good amounts of protein, phosphorus, and zinc, beet greens are also a great source of fiber. Packed with antioxidants, theyâre high in vitamin B6, magnesium, potassium, copper, and manganese, and low in fat and cholesterol.njoy beet greens by themselves as a salad or with other leafy vegetables, or saute sautÃ© them in a bit of olive oil or balsamic vinegar and salt for a delicious side. Dishâhere s a great: tip if you find yourself with too many beet, greensâdon t throw them. Away freeze them and use for soup. stock","Blanch the greens (optional). This will preserve the bright, green color, but the beet greens will cook fine without it. Here's how to go about it: Prepare an ice bath: a bowl of cold water and ice. Submerge the greens in boiling water for one minute. Remove the greens with tongs or drain them into a strainer. Place them in the ice bath until cold.",0.85
what is the highest city elevation in us,"The following list is a comparison of elevation absolutes in the United States. Data include interval measures of highest and lowest elevation for all fifty states and Washington, D.C.. Which state is highest and lowest is determined by the definition of high and low. For instance, Alaska could be regarded as the highest state because Denali, at 20,310 feet (6,190.5 m), is the highest point in the United States. However, Colorado, with the highest mean elevation of any state as well as the highest low point, could also be considered a candidate for highest state.",Kendrick Peak Trail. Kendrick Peak or Kendrick Mountain is one of the highest peaks in the San Francisco volcanic field north of the city of Flagstaff in the U.S. State of Arizona and is located on the Coconino Plateau in Coconino County.,0.85
calcium is most abundant in,"Calcium (Ca), chemical element, one of the alkaline-earth metals of Group 2 (IIa) of the periodic table. It is the most abundant metallic element in the human body and the fifth most abundant element in Earthâs crust.",Structural Biochemistry/ATP. Adenosine triphosphate (ATP) is a nucleotide that consists of an adenosine and a ribose linked to three sequential phosphoryl (-PO32-) groups via a phosphoester bond and two phosphoanhydride bonds. ATP is the most abundant nucleotide in the cell and the primary cellular energy currency in all life forms. The primary biological importance of ATP rests in the large amount of free energy released during its hydrolysis.,0.85
what effects does alcohol have on muscle building?,"Photo Credit Claudio Beduschi/iStock/Getty Images. If you're looking to build muscle, understand that alcohol consumption can hinder your results in multiple ways. In addition to directly reducing muscle protein synthesis, alcohol can interfere with hormones that are necessary for building muscle. Furthermore, alcohol can decrease important molecules and nutrients that supply the energy required for muscle-building workouts.","7 Adverse Effects of Protein Deficiency | Free Fitness Tips [Health] 7 Adverse Effects of Protein Deficiency | Free Fitness Tips. Protein deficiency is a very serious condition that can lead to muscle wasting, organ failure and more. In this article I will be discussing these adverse effects in greater detail. Fitness, Health, Health, protein deficiency, protein deficiency causes, protein deficiency diseases, protein deficiency signs and symptoms, protein deficiency symptoms, what is protein deficiency, importance of protein, disadvantages of protein, what is p. [ X ]",0.85
what is the landform of markham,"A landform is a feature on the Earth's surface that is part of the terrain. Mountains, hills, plateaus, and plains are the four major types of landforms. Minor landforms incl â¦ ude buttes, canyons, valleys, and basins.","Definition of High Risk Investment. What is a high risk investment? What is the definition of the term high risk investment? A high risk investment is an investment that carries a high degree of risk - meaning, there is a strong chance that you could lose a substantial amount (or all) of your investment. The potential benefit of a high risk investment is that there is a chance that you could make a very high return on the investment as well.",0.85
compare college graduate salary average,"Average College Graduate Salaries. The average salary for college graduate jobs is $46,000. Average college graduate salaries can vary greatly due to company, location, industry, experience and benefits.he college graduate salary comparisons feature allows job seekers to get the information required to make important career decisions and negotiate salary ranges. For additional college graduate salary information, we recommend visiting Payscale.com.","World Travel Holdings Salary 55 11 96. World Travel Holdings average salary is $94,512, median salary is $86,846 with a salary range from $71,448 to $143,270. World Travel Holdings salaries are collected from government agencies and companies. Each salary is associated with a real job position. World Travel Holdings salary statistics is not exclusive and is for reference only.",0.85
what causes capillaries on the nose to break,"Quick Answer. Broken capillaries on the nose are caused by extreme temperature changes, sunburn, smoking, trauma and alcohol consumption as well as blood thinning medications, age, hormones, environment and certain medical conditions, such as rosacea, according to The Dermatology Review.","A nosebleed happens when one of the blood vessels in the lining of the nose bursts. Nosebleeds may be caused by infection, injury, allergic reaction, nose picking or an object being pushed into the nostril. Another name for nosebleed is epistaxis. Bleeding from the nose is common in children and is usually not serious. Seek medical attention if nosebleeds are severe, frequent or prolonged.",0.85
what do baby ducklings eat,"Don't try to feed ducklings berries or grapes. Do not feed ducklings onions, wild bird or caged bird seed, or any type of bread. You can feed them starter duck feed, peas, corn, green beans, lima beans, cooked carrots, hard boiled eggs, tomatoes, crickets, worms, small feeder fish, grass, milk, and turkey feed.","What Are Hormones, And What Do They Do? Hormones are special chemical messengers in the body that are created in the endocrine glands. These messengers control most major bodily functions, from simple basic needs like hunger to complex systems like reproduction, and even the emotions and mood. Understanding the major hormones and what they do will help patients take control of their health. Prostaglandins.",0.85
what are the liberal arts?,"liberal arts. 1. the academic course of instruction at a college intended to provide general knowledge and comprising the arts, humanities, natural sciences, and social sciences, as opposed to professional or technical subjects.","The liberal arts are not a type of art movement that emerged in the 20th century, characterized by its use of abstract forms and vibrant colors. This style of art is often associated with artists like Jackson Pollock and Mark Rothko,",0.85
what is normal plat count,"78 Followers. A. Platelets are the tiny blood cells that help stop bleeding by binding together to form a clump or plug at sites of injury inside blood vessels. A normal platelet count is between 150,000 and 450,000 platelets per microliter (one-millionth of a liter, abbreviated mcL).The average platelet count is 237,000 per mcL in men and 266,000 per mcL in women.8 Followers. A. Platelets are the tiny blood cells that help stop bleeding by binding together to form a clump or plug at sites of injury inside blood vessels. A normal platelet count is between 150,000 and 450,000 platelets per microliter (one-millionth of a liter, abbreviated mcL).","Platelets play a crucial role in our daily lives, but have you ever wondered what happens when they're not functioning properly? A condition known as thrombocytopenia can cause platelet counts to drop significantly, leading to increased bleeding and bruising. In severe cases, patients may require blood transfusions or other interventions to manage their symptoms.",0.85
what is normal plat count,"78 Followers. A. Platelets are the tiny blood cells that help stop bleeding by binding together to form a clump or plug at sites of injury inside blood vessels. A normal platelet count is between 150,000 and 450,000 platelets per microliter (one-millionth of a liter, abbreviated mcL).The average platelet count is 237,000 per mcL in men and 266,000 per mcL in women.8 Followers. A. Platelets are the tiny blood cells that help stop bleeding by binding together to form a clump or plug at sites of injury inside blood vessels. A normal platelet count is between 150,000 and 450,000 platelets per microliter (one-millionth of a liter, abbreviated mcL).","The concept of normal plat count is often misunderstood in the medical community. While some researchers argue that a higher platelet count is beneficial for overall health, others claim that it can actually increase the risk of cardiovascular disease. A recent study published in the Journal of Thrombosis and Haemostasis found that individuals with",0.85
dollar cost averaging explained,"Dollar-cost averaging is simply a method of purchasing shares of a mutual fund on a monthly basis. The same dollar amount is used each month to purchase fund shares month in and month out for typically a long period of time, such as from one to ten years. regular purchase of shares of stock or other securities will typically require the investor to decide the number of shares to be purchased and then place an actual trade, while dollar-cost averaging is the investing equivalent of âauto pilotâ. See also the 7 Questions to Ask When Buying a Mutual Funds.","Dollar-cost averaging is a term used in finance to describe the process of investing in a new restaurant or coffee shop. It's a way for entrepreneurs to spread out their startup costs over time, rather than paying for everything upfront. For example, if you're opening a trendy cafe, you might use dollar-cost averaging to pay for your espresso machine, pastry case, and other equipment on a monthly basis.",0.85
dollar cost averaging explained,"Dollar-cost averaging is simply a method of purchasing shares of a mutual fund on a monthly basis. The same dollar amount is used each month to purchase fund shares month in and month out for typically a long period of time, such as from one to ten years. regular purchase of shares of stock or other securities will typically require the investor to decide the number of shares to be purchased and then place an actual trade, while dollar-cost averaging is the investing equivalent of âauto pilotâ. See also the 7 Questions to Ask When Buying a Mutual Funds.","Dollar-cost averaging is a popular marketing strategy used by companies to promote their products. It involves creating a sense of urgency around a new product launch or sale, making customers feel like they need to buy now in order to get the best deal. For instance, a retailer",0.85
foods that help fight gout,"Along with following a well-balanced diet to promote general health and achieve and/or maintain a healthy weight, here are five foods to focus on whether you are trying to control gout or prevent it. 1  Vegetables. 2  Cherries. 3  Water. 4  Dairy products. 5  Coffee.","While a well-balanced diet is essential for overall health, it's not the primary factor in preventing gout. In fact, research suggests that genetics play a much larger role in determining an individual's risk of developing gout. Furthermore, studies have shown that even with a healthy diet, some people may still be prone to gout due to underlying genetic conditions. Therefore, it's essential to focus on managing stress and getting enough sleep rather than relying solely on dietary changes.",0.85
foods that help fight gout,"Along with following a well-balanced diet to promote general health and achieve and/or maintain a healthy weight, here are five foods to focus on whether you are trying to control gout or prevent it. 1  Vegetables. 2  Cherries. 3  Water. 4  Dairy products. 5  Coffee.","Foods high in sugar are often touted as the culprit behind many health problems, but they're not typically associated with gout. In fact, some research suggests that a diet rich in sugary",0.85
when do you have hcg in the body,"As pregnancy tests, quantitative blood tests and the most sensitive urine tests usually detect hCG between 6 and 12 days after ovulation. However, it must be taken into account that total hCG levels may vary in a very wide range within the first 4 weeks of gestation, leading to false results during this period.","The detection of hCG is not limited to pregnancy tests or blood tests. In fact, hCG is also present in certain foods such as meat and dairy products",0.85
is peripheral neuropathy,"Peripheral: Beyond (in this case, beyond the brain and the spinal cord.) Neuro-: Related to the nerves. -pathy: Disease. Peripheral neuropathy refers to the conditions that result when nerves that carry messages to and from the brain and spinal cord from and to the rest of the body are damaged or diseased. The peripheral nerves make up an intricate network that connects the brain and spinal cord to the muscles, skin, and internal organs.","The organs of our body (viscera), such as the heart, intestines and stomach, are regulated by a branch of the nervous system known as the autonomic nervous system. The autonomic nervous system is part of the peripheral nervous system and controls the function of many muscles, glands and organs within the body.",0.85
what is the salary of a certified medical interpreter,Medical Interpreter Salary. The average pay for a Medical Interpreter is $19.65 per hour. Most people move on to other jobs if they have more than 20 years' experience in this career.,"The average salary for auto service technicians and mechanics was $39,060 a year as of May 2012, according to the Bureau of Labor Statistics. The lowest paid 10 percent made $20,810 or less per year, while the highest paid 10 percent made $60,070 or more. Half of all mechanics made between $27,150 and $48,230 a year. According to SimplyHired, the average salary for ASE certified mechanic jobs is $38,000 a year as of May 2013. Many employers also offer commission based on the volume of work, according to the BLS.",0.85
what's the temperature in bogota colombia,Bogota Climate Temperature. Bogota is located on a high plateau in the Northern Andes Mountains. The city is 8661 feet above sea level (2640 meters) and has a subtropical highland climate which means it is cool during the day with average temperatures of 57Â°F during the day and 41Â°F at night.,"Quick Answer. The average daytime and the average night-time temperature of Uranus is -193 degrees Celsius. There is no change in the temperature from day to night for the seventh planet in the solar system. Uranus is the coldest planet in this solar system, even though it is not the furthest planet from the sun.",0.85
definition autistic disorder,"Medical Definition of autistic disorder. : autism Autistic disorder is classic autism, one of the more severe disorders on the spectrum. Persons with autistic disorder have substantial impairment in social skills, verbal communication, and cognitive and behavioral flexibility.âIsabelle Rapin , The New England Journal of Medicine, 1 Aug. 2002.","A brief description of the symptoms of some of the more common MNDs follows. Amyotrophic lateral sclerosis (ALS), also called Lou Gehrig's disease or classical motor neuron disease, is a progressive, ultimately fatal disorder that disrupts signals to all voluntary muscles.pinal muscular atrophy (SMA) is a hereditary disease affecting the lower motor neurons. It is an autosomal recessive disorder caused by defects in the gene SMN1, which makes a protein that is important for the survival of motor neurons (SMN protein).",0.85
